duplicate_type,value,count,source_students,global_project_ids
same_project_url,http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/33582,2,23273412;23273412,33905;34647
same_project_url,http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/34721,2,23273412;23273412,34101;34480
same_project_url,http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/4136,2,23273412;23514826,34163;56114
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/22180,3,23273412;23273412;23273412,33855;33915;33974
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/29721,4,23273412;23273412;23273412;23273412,33853;33911;34110;34489
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/3010,3,23273412;23273412;23273412,33918;34112;34491
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/30741,2,23273412;23273412,33909;34937
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/31961,2,23273412;23273412,33908;33973
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/35255,3,23273412;23273412;23514826,34280;35039;56002
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/3790,3,23273412;23273412;23273412,33507;33614;34459
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/3790/version/1,3,23273412;23273412;23273412,33510;33617;34462
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NACJD/studies/4081,2,23273412;23273412,33913;34938
same_project_url,http://www.icpsr.umich.edu/icpsrweb/NAHDAP/studies/28921,2,23273412;23273412,33902;33971
same_project_url,http://www.icpsr.umich.edu/icpsrweb/RCMD/studies/30521,2,23273412;23273412,33903;34646
same_project_url,https://acs.figshare.com/articles/dataset/Engineering_Rapamycin-Induced_Dimerization_for_Control_of_Gene_Expression_in_Plants/32038026,46,23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834,12342;12468;12595;12678;12703;12770;12868;12974;13088;13264;13378;13474;13534;13568;13639;13700;13742;13804;13831;13857;13892;13928;13988;14062;14133;14213;14249;14304;14331;14360;14389;14422;14449;14476;14503;14533;14560;14594;14621;14649;14689;14718;14747;14777;14814;14842
same_project_url,https://acs.figshare.com/articles/dataset/Mobilization_of_the_Environmental_Toxicant_Chlorpyrifos_during_Weight_Loss_and_Its_Impact_on_Liver_and_Adipose_Tissue_Metabolism_in_Mice/32038285,50,23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834;23100834,12336;12337;12463;12590;12673;12698;12765;12863;12969;13083;13259;13373;13469;13529;13563;13634;13695;13737;13799;13826;13852;13887;13923;13983;14057;14128;14208;14244;14299;14326;14355;14383;14413;14417;14444;14471;14498;14528;14555;14589;14616;14644;14684;14713;14742;14772;14809;14837;14873;14906
